dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Reportons cette prérogative jusqu'à ce que je prenne conseil auprès de mes sujets.
dlga_member_kingsupport_2:do_member_trade|Je voudrais, {s21}. En outre, j'ai une proposition sur la façon dont je pourrais vous aider à atteindre votre trône. Mais vous avez récemment envoyé {s22} sur une mission similaire. Peut-être devrions-nous attendre deux semaines pour éviter d'attirer trop d'attention.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Très bien, allez-y.
dlga_member_kingsupport_3a:do_member_trade|À la réflexion, restez à mes côtés encore un peu.
dlga_member_kingsupport_4:close_window|Eh bien au revoir, {s21}, et à bientôt.
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Bien sûr, il est important que cela ne s'ébruite pas. Pour glaner des informations ou me sortir de là, n'envoyez pas de messager. Venez par vous-même, même si pour cela, vous devez vous faufiler entre les portes.
dlga_member_intelgathering_3:member_intelgathering_4|Bonne idée, allez-y.
dlga_member_intelgathering_3:do_member_trade|En fait laissez tomber.
dlga_member_intelgathering_4:close_window|Parfait, je devrais pouvoir vous donner des nouvelles dans environ cinq jours, au revoir {s21}.
dlga_start:march_bas_cartiers|messire, regardez ces chevaux...
dlga_march_bas_cartiers:regard_bas_cartiers|Je les vois marchand...
dlga_march_bas_cartiers:regard_bas_cartiers.1|Tu appelles cela des chevaux ?
dlga_regard_bas_cartiers:oblig_bas_cartiers|Ho ils ne payent pas de mine, mais ils ne sont pas chers, je vous en prie messire, nous ne supportons plus la famine à cause de la guerre, ne m'obligez pas a manger mes chevaux, achetez-les moi.
dlga_oblig_bas_cartiers:ventcheuvv_bas_cartiers|Soit, marchand... Puisque tu tiens tant à tes chevaux, j'en prendrai grand soin.
dlga_oblig_bas_cartiers:close_window|J'ai besoin d'un vrai cheval pour faire la guerre... Bonne chance...
dlga_ventcheuvv_bas_cartiers:cheuvv_bas_cartiers_pretalk|Vraiment messire ?... Ho comme je suis heureux ! Je les ai appellés Patriarche, Colombe et Isabelle...
dlga_cheuvv_bas_cartiers_pretalk:march_bas_cartiers2|Prenez-en un autre, je vous en prie.
dlga_march_bas_cartiers2:close_window|Je dois m'en aller...
dlga_start:mendiant_bas_cartiers|Mon seigneur... Une pièce pour un pauvre mendiant, ma femme a perdu la vue, quant à moi... Non, ne craignez rien, je ne suis point pesteux je vous assure...
dlga_mendiant_bas_cartiers:mendiant1|Bien sûr, brave homme... Ma foi ne me permet pas de te laisser ainsi.
dlga_mendiant_bas_cartiers:close_window|Hors de ma vue lépreux...
dlga_mendiant_bas_cartiers:close_window.1|[partir]
dlga_mendiant1:mendiant_reclame|Ho mon seigneur... Vous êtes si bon, permettez de vous demander la modique somme de 10 malheureux écus, vous sauverez un pauvre homme sur le point de mourir de faim.
dlga_mendiant_reclame:mendiant_reclame_2|Voilà 20 écus.
dlga_mendiant_reclame:close_window|Pour 20 ecus ?... Je peux avoir un repas, du vin et une femme, adieu mendiant...
dlga_mendiant_reclame_2:close_window|Merci, vous êtes si brave mon seigneur, je dirai à tout le monde à quel point vous êtes généreux.
dlga_start:dial_ecur_1|Vous voyez ce cheval messire ? Il n'est point donné à tout le monde de pouvoir le monter.
dlga_dial_ecur_1:cheval_top1|Et pourquoi donc ?
dlga_dial_ecur_1:close_window|Tant mieux pour lui, adieu.
dlga_cheval_top1:dressage1|Les chevaux comme celui là sont des dons de la nature, que seul un véritable maître en dressage peut amener à son meilleur niveau, ils peuvent porter une armure de plates complète sans en ressentir le poids ajouté.
dlga_dressage1:dial_impression|Impressionnant.
dlga_dressage1:close_window|Je connais parfaitement les chevaux, ça ne m'impressionne guère.
dlga_dial_impression:dressagepaye1|Je pourrais vous apprendre à monter ces bêtes particulièrement difficiles à comprendre, contre une certaine somme naturellement, disons 1000 écus.
dlga_dressagepaye1:ok_fintraincheval|C'est d'accord, il faut que je sache monter ce genre de chevaux coûte que coûte, il en va de mon salut.
dlga_dressagepaye1:close_window|Je crains de ne pas avoir les moyens, mais je reviendrai.
dlga_ok_fintraincheval:close_window|C'est très bien, commencez par vous tenir droit, comment voulez-vous faire corps avec un si noble animal, si vous avez vous même si peu de souplesse...
dlga_start:dial_ecur_achat_1|Qu'est-ce qui vous amène à l'Écurie Royale messire, vous désirez un cheval ? Ou peut-être avez-vous perdu votre chemin ?
dlga_dial_ecur_achat_1:ecurie_vendok2|J'aimerais voir vos chevaux en effet, ils sont réputés dans toute la France.
dlga_dial_ecur_achat_1:close_window|Je voulais juste faire un tour.
dlga_ecurie_vendok2:ecurie_preetalk|Normalement ils ne sont pas à vendre, mais le roi a besoin d'or, alors il se sépare de quelques unes de ses meilleures montures.
dlga_ecurie_preetalk:ecurie_encore|Il vous faut autre chose ?
dlga_ecurie_encore:ecurie_vendok2|Je voudrais revoir vos chevaux.
dlga_ecurie_encore:close_window|Non, j'en ai assez vu.
dlga_start:ecurie_ecuyer|Vous désirez ?
dlga_ecurie_ecuyer:ecuyer_chevalier_ecurie|Puis-je vous demander qui vous êtes ? un chevalier ?
dlga_ecurie_ecuyer:close_window|Rien, je voulais juste me réchauffer près du feu.
dlga_ecuyer_chevalier_ecurie:dial_ecuyer_ecur|Écuyer... Je suis simplement écuyer, mais je serai fait chevalier sous peu.
dlga_dial_ecuyer_ecur:ecuyer_armure|Pourquoi portez-vous déja votre armure dans ce cas ?
dlga_ecuyer_armure:close_window|Quel mal y a-t-il à s'entraîner à porter une armure pour un futur chevalier ? La bergère ne conduit-elle pas ses moutons ? Le meunier ne moud-t-il pas son grain, et les chevaliers portent et porteront toujours une armure ! Maintenant laissez-moi, j'ai à réfléchir.
dlga_start:dijon_jacob1|Salutations, je suis le père Jacob, je dirige les hospices, et comme vous le voyez les bâtiments ne suffisent plus à contenir tous les blessés de la guerre. Nous ne fesons pas de distinction, Bourguignons, Anglais ou même Francais, nous devons venir en aide aux mourants, mais que puis-je faire pour vous ?
dlga_dijon_jacob1:dijon_soinsok|Je suis blessé mon père, pouvez-vous me soigner ?
dlga_dijon_jacob1:dijon_travailpere|Parlez-moi de votre travail aux hospices.
dlga_dijon_jacob1:dijon_benirok|Pouvez-vous bénir mes hommes ? Ce sont de braves soldats, et cela leur remonterait le moral de se savoir prêt au pire.
dlga_dijon_jacob1:dijon_etrange|Ne faites pas attention à moi, je fais juste une promenade.
dlga_dijon_etrange:close_window|Étrange endroit pour se promener mon fils, êtes-vous sain d'esprit ? Un de mes collègues à Metz pourrait faire quelque chose pour vous si ce n'était pas le cas.
dlga_dijon_soinsok:dijon_peresoinschers|Eh bien, je n'ai pas le temps de soigner tout le monde, vous vous en doutez, mais je peux faire un effort si vous me versiez une compensation de 200 écus, ça me permettrait d'acheter des vivres et des médicaments pour les blessés.
dlga_dijon_peresoinschers:dijon_pereblessur|Très bien, faites vite si possible, j'ai beaucoup à faire.
dlga_dijon_pereblessur:close_window|Quelle vilaine blessure, laissez-moi faire...
dlga_dijon_peresoinschers:predial_dijonpere|Je ne peux pas me le permettre.
dlga_dijon_travailpere:predial_dijonpere|Il n'y a rien d'intéressant à dire je vous assure, l'armée m'amène ici des hommes et ils repartent pratiquement tous sur le chariot, la guerre fait beaucoup de dégâts vous savez.
dlga_predial_dijonpere:dijon_jacob1|Puis-je faire autre chose pour vous aider ?
dlga_dijon_benirok:dijon_cher|Hum, comment refuser de bénir ces hommes, s'ils devaient mourir au combat il faut qu'ils soient prêts. Je pourrais le faire mais j'ai des obligations, je pourrais peut-être me libérer contre une compensation, une donation de 200 écus devrait faire l'affaire, cela nous permettra de commander des vivres et de quoi soigner les nouveaux arrivants.
dlga_dijon_cher:dijon_benirokok|Entendu, mes hommes le mérite.
dlga_dijon_cher:dijon_benirno|Je n'ai pas une telle somme.
dlga_dijon_cher:dijon_insultepere|C'est bien trop cher pour une seule prière, êtes-vous vraiment religieux, ou banquier ?
dlga_dijon_benirokok:close_window|Très bien, dans ce cas amenez-moi à eux...
dlga_dijon_benirno:predial_dijonpere|Dans ce cas, je serai plus utile à soigner mes malades, je suis confus, mais je dois aller là où je serai le plus utile.
dlga_dijon_insultepere:close_window|Surveillez vos paroles mon fils, tout le monde souffre dans tous les camps, pour ma part je ne peux pas aider tout le monde, je me suis fait à cette idée depuis bien longtemps.
dlga_start:dijon_freree|Qu'y a-t-il mon frère ?
dlga_dijon_freree:dijon_frerepere|Pouvez-vous me parler du père Jacob ?
dlga_dijon_freree:close_window|Rien, je dois m'en aller.
dlga_dijon_frerepere:dial_dijon_frerefin|Le père Jacob a beaucoup souffert ces derniers temps, il a vu tous ses patients mourir les uns après les autres, la plupart d'entre eux étaient tellement mutilés qu'on ne pouvait rien faire, mais malgré tout il s'en veut de ne pas avoir pu les sauver...
dlga_dial_dijon_frerefin:dijon_fin|Dites-lui de tenir le coup, tout ça aura bien une fin.
dlga_dijon_fin:close_window|Je lui dirai, merci de votre gratitude.
dlga_start:dijon_blesse|Ils vous ont eu vous aussi ?
dlga_dijon_blesse:dijon_francais|Qui ça ?
dlga_dijon_blesse:close_window|Oui ils m'ont eu, je dois partir à présent.
dlga_dijon_francais:dial_dijon_blessefin|Cette question, ces chiens de Francais bien sûr, pour moi les combats sont terminés, je peux à peine marcher, le carreau d'une arbalète a traversé ma cuisse, c'était pas beau à voir, mais pour vous ça a l'air d'aller... Pour le moment en tout cas.
dlga_dial_dijon_blessefin:dijon_finin|En tout cas cette arbalète ne t'a pas transpercé la langue.
dlga_dijon_finin:close_window|Qu'est-ce que ça veut dire ?
dlga_start:jacobin_belle|Quelle belle journée mon fils, n'est-il pas ?
dlga_jacobin_belle:jacobin_start|En effet mon père, il fait bon.
dlga_jacobin_belle:jacobin_mauvaistmp|Vous trouvez... Vraiment ?
dlga_jacobin_mauvaistmp:jacobin_start|Mais bien sûr mon fils, toutes les saisons sont belles quand on est au service du seigneur, chaque saison donne une récolte différente, la pluie les fait pousser et le soleil leur donne parfum et arômes.
dlga_jacobin_start:jacobin_start2|Mais que venez-vous faire au cloître mon fils, voulez-vous nous rejoindre ?
dlga_jacobin_predial:jacobin_start2|Désirez-vous savoir autre chose mon fils ?
dlga_jacobin_start2:jacobin_soinstart|Je viens mander un guérisseur, je suis blessé.
dlga_jacobin_start2:jacobin_rensgueriss|Que faites-vous de vos journées au cloître ?
dlga_jacobin_start2:close_window|J'ai à faire ailleurs, mais je reviendrai.
dlga_jacobin_rensgueriss:jacobin_danger|Eh bien nous produisons de la cervoise, du fromage d'excellente qualité, un peu de vin, et je soigne moi-même les gens de la ville, nous subvenons à nos humbles besoins, et nous récoltons de l'argent pour venir en aide aux malades et aux pauvres.
dlga_jacobin_danger:jacobin_dangerno|Les Anglois ne vous ont jamais attaqué ?
dlga_jacobin_dangerno:jacobin_predial|Ils ne l'oseraient jamais, du moins nous l'espérons, la colère de Dieu s'abattrait sur eux.
dlga_jacobin_soinstart:jacobin_soinokok|Eh bien, je ne suis pas le meilleur médecin de France, mais je peux vous guérir d'une dent gâtée ou cicatriser une blessure grâce à mes plantes, je vous demanderai une obole de 100 écus en retour.
dlga_jacobin_soinokok:jacobin_pereblessur|Faites de votre mieux, mais faites vite.
dlga_jacobin_soinokok:jacobin_predial|Je n'ai pas assez d'argent, je reviendrai.
dlga_jacobin_soinokok:jacobin_infobest|Où puis-je trouver un meilleur médecin, sans vous offenser...
dlga_jacobin_infobest:jacobin_predial|Ho il n'y a pas de mal, le meilleur médecin que je connaisse est le père Jacob à Dijon, c'est peut-être en territoire ennemi, mais si vous êtes souffrant, vous n'avez pas le choix.
dlga_jacobin_pereblessur:close_window|Cessez de bouger mon fils, vous faites tomber mon couteau à chaque fois...
dlga_start:jacobin_startbenis|Salutations mon fils, que faites-vous ici, voulez-vous devenir moine ?
dlga_jacobin_startbenis:jacobin_benirok|J'ai une troupe de soldats dont le moral est au plus bas, ils craignent pour le salut de leur âme, pouvez-vous les bénir...
dlga_jacobin_benirok:jacobin_cher|Eh bien je ne dois pas quitter le cloître, mais si vous les amenez ici je peux faire mon office, d'ailleurs vous tombez bien, nos prières sont réputées dans toute la France, grâce au miracle qui a eu lieu il y a bien longtemps près du chemin qui mène à la ville, je vous demanderai une somme de 400 écus, cela aidera grandement nos pauvres et nos malades.
dlga_jacobin_cher:jacobinss_benirokok|C'est une somme, mais mes hommes se sentiront beaucoup mieux après ça, c'est d'accord.
dlga_jacobin_cher:jacobin_predialbeniss|Je n'ai pas une telle somme.
dlga_jacobin_predialbeniss:jacobin_startbenis|Que puis-je faire de plus dans ce cas ?
dlga_jacobinss_benirokok:close_window|Fort bien, amenez-les moi ici...
dlga_jacobin_startbenis:close_window|Je vous laisse mon père, je dois moi-même me retirer pour réfléchir.
dlga_start:jacobin_vendstart|Mon fils, goûtez-moi ce raisin, c'est le meilleur de toute la France, même si tous les vignerons pensent la même chose, en tout cas j'en suis très fier.
dlga_jacobin_vendstart:jacobin_vendsitem|Produisez-vous du vin ?
dlga_jacobin_vendstart:close_window|Je dois partir, une autre fois peut-être.
dlga_jacobin_vendsitem:jacobin_vendsfin|Oui, du vin et de la cervoise de très bonne qualité, ainsi que du très bon fromage que nous vendons en ville et aux pèlerins.
dlga_jacobin_vendsfin:jacobin_vendus|J'aimerais acheter vos produits.
dlga_jacobin_vendsfin:jacobin_pelerins|Y a-t-il souvent des pèlerinages ?
dlga_jacobin_vendsfin:close_window|Je suis navré, mais je dois partir maintenant.
dlga_jacobin_vendus:jacobinpredialvend|Mais bien entendu, regardez cette qualité.
dlga_jacobinpredialvend:jacobin_vendsfin|Merci mon fils, vous fallait-il autre chose ?
dlga_jacobin_pelerins:jacobin_vendsfin|Tous les ans à la Saint-Jacques, les pèlerins de toute la France prennent le chemin de Saint-Jacques de compostelle, beaucoup d'entre eux font une halte dans notre cloître, les pèlerins sont reconnaissables à leur coquille blanche, cousue sur leurs chapeaux, voulez-vous savoir autre chose ?
