1135
qstr_Breaking_camp... Breaking_camp...
qstr_As_a_{reg3?girl:boy}_growi As_a_{reg3?girl:boy}_growing_out_of_childhood,____________you_apprenticed_with_a_local_craftsman_to_learn_a_trade._After_years_of_hard_work_and_study_under_your____________new_master,_he_promoted_you_to_journeyman_and_employed_you_as_a_fully_paid_craftsman_for_as_long_as__________you_wished_to_stay.
qstr_As_a_{reg3?girl:boy}_growin As_a_{reg3?girl:boy}_growing_out_of_childhood,____________you_apprenticed_to_a_wealthy_merchant,_picking_up_the_trade_over_years_of_working_shops_and_driving_caravans.____________You_soon_became_adept_at_the_art_of_buying_low,_selling_high,_and_leaving_the_customer_thinking_they'd__________got_the_better_deal.
qstr_As_a_{reg3?girl:boy}_growing As_a_{reg3?girl:boy}_growing_out_of_childhood,____________you_took_to_the_streets,_doing_whatever_you_must_to_survive.____________Begging,_thieving_and_working_for_gangs_to_earn_your_bread,_you_lived_from_day_to_day_in_this_violent_world,__________always_one_step_ahead_of_the_law_and_those_who_wished_you_ill.
qstr_As_a_{reg3?girl:boy}_growing_ As_a_{reg3?girl:boy}_growing_out_of_childhood,____________you_rode_the_great_steppes_on_a_horse_of_your_own,_learning_the_ways_of_the_grass_and_the_desert.____________Although_you_sometimes_went_hungry,_you_became_a_skillful_hunter_and_pathfinder_in_this_trackless_country.__________Your_body_too_started_to_harden_with_muscle_as_you_grew_into_the_life_of_a_nomad_{reg3?woman:man}.
qstr_Though_the_distinction_felt Though_the_distinction_felt_sudden_to_you,____________somewhere_along_the_way_you_had_become_a_{reg3?woman:man},_and_the_whole_world_seemed_to_change_around_you.____________When_you_were_named_squire_to_a_noble_at_court,_you_practiced_long_hours_with_weapons,____________learning_how_to_deal_out_hard_knocks_and_how_to_take_them,_too.____________You_were_instructed_in_your_obligations_to_your_lord,_and_of_your_duties_to_those_who_might_one_day_be_your_vassals.____________But_in_addition_to_learning_the_chivalric_ideal,_you_also_learned_about_the_less_uplifting_side____________--_old_warriors'_stories_of_ruthless_power_politics,_of_betrayals_and_usurpations,__________of_men_who_used_guile_as_well_as_valor_to_achieve_their_aims.
qstr_Though_the_distinction_felt_ Though_the_distinction_felt_sudden_to_you,____________somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you.____________You_joined_the_tightly-knit_circle_of_women_at_court,_ladies_who_all_did_proper_ladylike_things,____________the_wives_and_mistresses_of_noble_men_as_well_as_maidens_who_had_yet_to_find_a_husband.____________However,_even_here_you_found_politics_at_work_as_the_ladies_schemed_for_prominence_and_fought_each_other____________bitterly_to_catch_the_eye_of_whatever_unmarried_man_was_in_fashion_at_court.____________You_soon_learned_ways_of_turning_these_situations_and_goings-on_to_your_advantage._With_it_came_the____________realisation_that_you_yourself_could_wield_great_influence_in_the_world,_if_only_you_applied_yourself__________with_a_little_bit_of_subtlety.
qstr_Though_the_distinction_felt_s Though_the_distinction_felt_sudden_to_you,____________somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you.____________You_set_out_on_your_own_with_nothing_except_the_instrument_slung_over_your_back_and_your_own_voice.____________It_was_a_poor_existence,_with_many_a_hungry_night_when_people_failed_to_appreciate_your_play,____________but_you_managed_to_survive_on_your_music_alone._As_the_years_went_by_you_became_adept_at_playing_the__________drunken_crowds_in_your_taverns,_and_even_better_at_talking_anyone_out_of_anything_you_wanted.
qstr_Though_the_distinction_felt_su Though_the_distinction_felt_sudden_to_you,____________somewhere_along_the_way_you_had_become_a_{reg3?woman:man},_and_the_whole_world_seemed_to_change_around_you.____________You_found_yourself_as_a_student_in_the_university_of_one_of_the_great_cities,____________where_you_studied_theology,_philosophy,_and_medicine.____________But_not_all_your_lessons_were_learned_in_the_lecture_halls.____________You_may_or_may_not_have_joined_in_with_your_fellows_as_they_roamed_the_alleys_in_search_of_wine,_women,_and_a_good_fight.____________However,_you_certainly_were_able_to_observe_how_a_broken_jaw_is_set,__________or_how_an_angry_townsman_can_be_persuaded_to_set_down_his_club_and_accept_cash_compensation_for_the_destruction_of_his_shop.
qstr_Though_the_distinction_felt_sud Though_the_distinction_felt_sudden_to_you,____________somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you.____________Heeding_the_call_of_the_open_road,_you_travelled_from_village_to_village_buying_and_selling_what_you_could.____________It_was_not_a_rich_existence,_but_you_became_a_master_at_haggling_even_the_most_miserly_elders_into__________giving_you_a_good_price._Soon,_you_knew,_you_would_be_well-placed_to_start_your_own_trading_empire...
qstr_Though_the_distinction_felt_sudd Though_the_distinction_felt_sudden_to_you,____________somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you.____________You_pursued_a_career_as_a_smith,_crafting_items_of_function_and_beauty_out_of_simple_metal.____________As_time_wore_on_you_became_a_master_of_your_trade,_and_fine_work_started_to_fetch_fine_prices.__________With_food_in_your_belly_and_logs_on_your_fire,_you_could_take_pride_in_your_work_and_your_growing_reputation.
qstr_Though_the_distinction_felt_sudde Though_the_distinction_felt_sudden_to_you,____________somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you.____________Dissatisfied_with_common_men's_desperate_scrabble_for_coin,_you_took_to_your_local_lord's_own_forests____________and_decided_to_help_yourself_to_its_bounty,_laws_be_damned._You_hunted_stags,_boars_and_geese_and_sold____________the_precious_meat_under_the_table._You_cut_down_trees_right_under_the_watchmen's_noses_and_turned_them_into__________firewood_that_warmed_many_freezing_homes_during_winter._All_for_a_few_silvers,_of_course.
qstr_Only_you_know_exactly_wha Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer.____________Still,_it_was_not_a_difficult_choice_to_leave,_with_the_rage_burning_brightly_in_your_heart.____________You_want_vengeance._You_want_justice._What_was_done_to_you_cannot_be_undone,__________and_these_debts_can_only_be_paid_in_blood...
qstr_Only_you_know_exactly_what Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer.____________All_you_can_say_is_that_you_couldn't_bear_to_stay,_not_with_the_memories_of_those_you_loved_so_close_and_so____________painful._Perhaps_your_new_life_will_let_you_forget,__________or_honour_the_name_that_you_can_no_longer_bear_to_speak...
qstr_Only_you_know_exactly_what_ Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer.____________You're_not_even_sure_when_your_home_became_a_prison,_when_the_familiar_became_mundane,_but_your_dreams_of____________wandering_have_taken_over_your_life._Whether_you_yearn_for_some_faraway_place_or_merely_for_the_open_road_and_the__________freedom_to_travel,_you_could_no_longer_bear_to_stay_in_the_same_place._You_simply_went_and_never_looked_back...
qstr_Only_you_know_exactly_what_c Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer.____________However,_you_know_you_cannot_go_back._There's_nothing_to_go_back_to._Whatever_home_you_may_have_had_is_gone__________now,_and_you_must_face_the_fact_that_you're_out_in_the_wide_wide_world._Alone_to_sink_or_swim...
qstr_Only_you_know_exactly_what_ca Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer.____________To_everyone_else,_it's_clear_that_you're_now_motivated_solely_by_personal_gain.____________You_want_to_be_rich,_powerful,_respected,_feared.____________You_want_to_be_the_one_whom_others_hurry_to_obey.____________You_want_people_to_know_your_name,_and_tremble_whenever_it_is_spoken.__________You_want_everything,_and_you_won't_let_anyone_stop_you_from_having_it...
qstr_You_start_reading_{s2 You_start_reading_{s2}._After_a_few_pages,________you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the_ You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow.________Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_As_a_last_defensive_e As_a_last_defensive_effort,_you_retreat_to_the_main_hall_of_the_keep.______You_and_your_remaining_soldiers_will_put_up_a_desperate_fight_here._If_you_are_defeated,_there's_no_other_place_to_fall_back_to.
qstr_You_ve_been_driven_aw You've_been_driven_away_from_the_walls.______Now_the_attackers_are_pouring_into_the_streets._IF_you_can_defeat_them,_you_can_perhaps_turn_the_tide_and_save_the_day.
qstr_You_ve_breached_the_t You've_breached_the_town_walls,____________but_the_stubborn_defenders_continue_to_resist_you_in_the_streets!__________You'll_have_to_deal_with_them_before_you_can_attack_the_keep_at_the_heart_of_the_town.
qstr_The_town_centre_is_yo The_town_centre_is_yours,____________but_the_remaining_defenders_have_retreated_to_the_castle.__________It_must_fall_before_you_can_complete_your_victory.
qstr_Try_as_you_might_you Try_as_you_might,_you_could_not_defeat_the_bandits.__________Infuriated,_they_raze_the_village_to_the_ground_to_punish_the_peasants,________and_then_leave_the_burning_wasteland_behind_to_find_greener_pastures_to_plunder.
qstr_You_have_fallen._The_ You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,______then_vanish_into_the_night._They_have_left_you_alive,_if_only_barely.
qstr_The_bandits_are_broke The_bandits_are_broken!__________Those_few_who_remain_alive_and_conscious_run_off_with_their_tails_between_their_legs,________terrified_of_the_peasants_and_their_new_champion.
qstr_{!}Event_no.{reg5}_ {!}Event_no.{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_{!}Event_no.{reg5}_t {!}Event_no.{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_{!}Event_no.{reg5}_ty {!}Event_no.{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_{!}Event_no.{reg5}_typ {!}Event_no.{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_{!}Event_no.{reg5}_type {!}Event_no.{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_{!}Entries_up_to_no. {!}Entries_up_to_no._{reg5}_skipped
qstr_{s9}_wants_you_to_hu {s9}_wants_you_to_hunt_down_deserters_and_end_them.
qstr_{s6}_faction_with_{s {s6}_faction_with_{s5}_culture
qstr_Item_ID:_{reg1} Item_ID:_{reg1}
qstr_Freelancer_Missions: Freelancer_Missions:_
qstr_{s9}_wants_you_to_pa {s9}_wants_you_to_pacify_his_unhappy_troops.
qstr_Oh_Hello_Captain_s Oh,_Hello_Captain,_sorry,_didn't_see_you_there._I_hope_all_is_well...
qstr_Hey_Sarge_I_bet_you Hey_Sarge,_I_bet_you_know_all_about_blood_and_guts,_eh?
qstr_Oi_{playername}__d Oi,_{playername},__don't_be_sneaking_about._What_do_you_want?
qstr_At_ease_soldier._I_ At_ease,_soldier._I've_been_hearing_that_there_is_some_discord_among_the_men._What_can_you_tell_me_about_it?
qstr_I_do_yes._But_I_bet I_do,_yes._But_I_bet_you_know_more_about_shit,_eh?_So_what_is_it_that_I_am_hearing,_that_there_are_rumblings_about_the_men,_eh?
qstr_I_just_want_to_know_ I_just_want_to_know_why_the_men_have_been_disquiet_these_days._I_know_I_don't_feel_any_better_myself,_but_wanted_to_hear_how_it_is_with_the_other_men.
qstr_Well_{sir/ma_am}._T Well,_{sir/ma'am}._The_men_are_not_happy,_that_is_true._There_is_just_too_much_walking,_too_much_fighting,_but_not_enough_feasting,_not_enough_drinks,_not_enough_fun!_We_are_paid_well,_yes,_but_maybe_we_deserve_a_bit_more._Respectfully,_{sir/ma'am}.
qstr_Sarge_you_know_that Sarge,_you_know_that_we_don't_complain_unless_things_are_bad,_right?_Well,_things_do_feel_bad._Too_much_walking,_and_fighting,_but_there_is_not_enough_fun_to_be_had!_When_we_do_stop_by_town,_we_don't_have_enough_to_enjoy_ourselves.
qstr_You_are_in_the_front You_are_in_the_frontlines_with_us,_don't_you_feel_a_bit_down_with_all_this_walking_and_fighting?_But_not_enough_drinking,_feasting,_and_fun?_When_you_go_to_town,_what_do_you_do?_I_bet_you_don't_do_shit,_cause_you_ain't_got_enough_to_do_shit!_Like_all_of_us...
qstr_Well_{sir/ma_am}._Y Well,_{sir/ma'am}._You_have_a_very_good_point,_{sir/ma'm}._We_shouldn't_be_complaining_at_all..._Thank_you_for_setting_us_straight.
qstr_Sarge_you_really_do Sarge,_you_really_do_know_us_better_than_we_know_ourselves._You_are_going_to_make_the_men_cry!_I'll_make_sure_to_tell_the_men_what_you_said,_and_we'll_straighten_up,_you'll_see.
qstr_You_have_a_good_poin You_have_a_good_point,_{playername}._I_don't_know_why_you_aren't_being_promoted_yet._Anyways,_I'll_tell_the_men_what_you_told_me._Tell_the_commander_that_we'll_march_on.
qstr_Captain_with_all_du Captain,_with_all_due_respect,_we_do_not_agree_with_you._If_anything,_your_attempt_just_made_it_worse.
qstr_What_is_this_Sarge?_ What_is_this_Sarge?_I_thought_you_knew_us_better!_The_men_will_start_to_think_you_are_full_of_shit._This_is_pointless,_just_leave_us_be.
qstr_What_are_you_babblin What_are_you_babbling_on_about?_You_know_nothing_about_what_we_are_going_through,_go_away_and_leave_us_be.
qstr_The_men_are_hearthen The_men_are_hearthened_by_your_speech._(Morale_Improved)
qstr_The_men_are_disheart The_men_are_dishearthened_by_your_failed_attempt._(Morale_Worsened)
qstr_The_men_respects_you The_men_respects_you_more_now,_and_was_also_entertained._(Morale_Improved)
qstr_The_men_thinks_you_a The_men_thinks_you_are_weak,_but_are_happy_to_see_you_pay._(Morale_Slightly_Improved)
qstr_You_paid_{reg1}_gold You_paid_{reg1}_gold_to_the_men.
qstr_The_men_thinks_you_ar The_men_thinks_you_are_weak,_and_disappointed_that_you_cannot_pay_the_full_sum._(Morale_Slightly_Improved)
qstr_Cannot_leave_now. Cannot_leave_now.
qstr_You_distribute_the_a You_distribute_the_alcohol_to_the_men_and_join_the_festivities._(Morale_Greatly_Improved)
qstr_You_give_the_men_{re You_give_the_men_{reg6}_crowns_and_leave_them_to_their_festivities._(Morale_Improved)
qstr_Weapons Weapons
qstr_Armors Armors
qstr_Others Others
qstr_{s1}_has_{reg1}_comp {s1}_has_{reg1}_component_meshes
